"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1194851,"MISS ROSE Makeup Liquid Eyeliner Pencil Waterproof Black Color With Stamp",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/E5/50/72424061-036b-4a7a-aa4c-7374a05d1068.JPG,https://usa.banggood.com/MISS-ROSE-Makeup-Liquid-Eyeliner-Pencil-Waterproof-Black-Color-With-Stamp-reviews-p1194851.html,"11,84€",€1.95,https://usa.banggood.com/MISS-ROSE-Makeup-Liquid-Eyeliner-Pencil-Waterproof-Black-Color-With-Stamp-p-1194851.html?p=4T181370308054202203&custlinkid=1816768
1194852,"Halloween Decorations Party Eyes 3D Rhinestone Face Eye Gem Jewel Self Adhesive Waterproof Eyelash",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/6F/49/3d7e13c9-e3d5-4dd4-bee3-fa4aaf89c640.jpg,https://usa.banggood.com/Halloween-Decorations-Party-Eyes-3D-Rhinestone-Face-Eye-Gem-Jewel-Self-Adhesive-Waterproof-Eyelash-reviews-p1194852.html,"8,20€",€1.8,https://usa.banggood.com/Halloween-Decorations-Party-Eyes-3D-Rhinestone-Face-Eye-Gem-Jewel-Self-Adhesive-Waterproof-Eyelash-p-1194852.html?p=4T181370308054202203&custlinkid=1816769
1199750,"6pcs/set Halloween Costume Cosplay Party Makeup Face Eye Terror Temporary Tattoo Sticker Waterproof",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/4E/CD/d8821beb-0aa1-4652-bb4d-6ae45d548974.jpg,https://usa.banggood.com/6pcs-or-set-Halloween-Costume-Cosplay-Party-Makeup-Face-Eye-Terror-Temporary-Tattoo-Sticker-Waterproof-reviews-p1199750.html,"15,49€",€2.55,https://usa.banggood.com/6pcs-or-set-Halloween-Costume-Cosplay-Party-Makeup-Face-Eye-Terror-Temporary-Tattoo-Sticker-Waterproof-p-1199750.html?p=4T181370308054202203&custlinkid=1816770
1218033,"LED Fake Beard Glow Carnival Toys Halloween Christmas Gifts Cosplay Mustache",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/C2/9A/8ef8bee5-f02f-45a9-b0ce-5c78aa65c8e6.JPG,https://usa.banggood.com/LED-Fake-Beard-Glow-Carnival-Toys-Halloween-Christmas-Gifts-Cosplay-Mustache-reviews-p1218033.html,"10,02€",€1.65,https://usa.banggood.com/LED-Fake-Beard-Glow-Carnival-Toys-Halloween-Christmas-Gifts-Cosplay-Mustache-p-1218033.html?p=4T181370308054202203&custlinkid=1816771
1254886,"4 in 1 Eyebrow Facial Body Removal Trimmer Shaver",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/76/D7/88db86ba-fbb2-4573-be7a-8e5ba9305e06.jpg,https://usa.banggood.com/4-in-1-Eyebrow-Facial-Body-Removal-Trimmer-Shaver-reviews-p1254886.html,"19,13€",€3.15,https://usa.banggood.com/4-in-1-Rechargeable-Womens-Painless-Eyebrow-Facial-Body-Removal-Trimmer-Shaver-p-1254886.html?p=4T181370308054202203&custlinkid=1816772
1259642,"Laser IPL Permanent Hair Removal",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/35/16/4925eee2-81b9-432d-ad20-c73a2b29de70.JPG,https://usa.banggood.com/Laser-IPL-Permanent-Hair-Removal-reviews-p1259642.html,"162,26€",€26.7,https://usa.banggood.com/Laser-IPL-Permanent-Hair-Removal-Bikini-Face-Leg-Arm-Body-Care-Remover-Machine-p-1259642.html?p=4T181370308054202203&custlinkid=1816773
1286873,"5ml Empty Clear Glass Roll Bottle",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/8E/C8/4dd6931a-c6c2-4ac2-afd8-4f2ae1ccf6e8.jpg,https://usa.banggood.com/5ml-Empty-Clear-Glass-Roll-Bottle-reviews-p1286873.html,"6,37€",€1.75,https://usa.banggood.com/5ml-Empty-Clear-Glass-Roll-on-Bottles-Refillable-Roller-Ball-Essential-Oil-Liquid-Bottle-p-1286873.html?p=4T181370308054202203&custlinkid=1816774
1293904,"500ml Amber Glass Spray Refillable Bottles Water Sprayer",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/65/71/e9a38d00-84da-48cf-b422-868e0a10ec5c.JPG,https://usa.banggood.com/500ml-Amber-Glass-Spray-Refillable-Bottles-Water-Sprayer-reviews-p1293904.html,"20,96€",€3.45,https://usa.banggood.com/500ml-Amber-Glass-Spray-Refillable-Bottles-Water-Sprayer-p-1293904.html?p=4T181370308054202203&custlinkid=1816775
1294577,"Eyelashes Extension Grafting Kit Glue Holder Tweezers Mascara Wands Beauty Salon Training Set ",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/FE/BB/64df0b4a-024e-417a-8d49-2c821a17a063.JPG,https://usa.banggood.com/Eyelashes-Extension-Grafting-Kit-Glue-Holder-Tweezers-Mascara-Wands-Beauty-Salon-Training-Set--reviews-p1294577.html,"27,34€",€4.5,https://usa.banggood.com/Eyelashes-Extension-Grafting-Kit-Glue-Holder-Tweezers-Mascara-Wands-Beauty-Salon-Training-Set--p-1294577.html?p=4T181370308054202203&custlinkid=1816776
1298903,"10Pcs Eyelash Reuseable Grafting Perm Tools",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/11/79/57aeb78e-21ab-410d-bfaa-be611879edf2.JPG,https://usa.banggood.com/10Pcs-Eyelash-Reuseable-Grafting-Perm-Tools-reviews-p1298903.html,"8,20€",€1.8,https://usa.banggood.com/10Pcs-Lash-Lift-Perming-Mini-Y-Shape-Brush-For-Eyelash-Reuseable-Grafting-Perm-Tools-Kit-p-1298903.html?p=4T181370308054202203&custlinkid=1816777
